"row"
"(101076,LIC,Y,offsale,2699.04,""ALS WESTSIDE 2"",""3479 MOTOR AVE"",5)"
"(123378,LIC,Y,offsale,1390.01,""TRADER JOES 56"",""17640 BURBANK BLVD"",5)"
"(123383,LIC,Y,offsale,2717.01,""TRADER JOES 7"",""10850 NATIONAL BLVD"",5)"
"(136939,LIC,Y,onsale,1920.01,PLAZA,""739 N LA BREA AVE"",5)"
"(15365,LIC,Y,onsale,2621,""BEL AIR COUNTRY CLUB"",""10768 BELLAGIO RD"",5)"
"(154123,APP,Y,onsale,2148,""CHURCHILL THE"",""8384 W 3RD ST"",5)"
"(154123,LIC,Y,onsale,2148,""CLEO W 3RD STREET"",""8384 W 3RD ST"",5)"
"(154123,APP,Y,onsale,2148,""CHURCHILL THE"",""8384 W 3RD ST"",5)"
"(154126,APP,Y,onsale,2149.02,""CHAYA BRASSERIE"",""8741 ALDEN DR"",5)"
"(154262,LIC,Y,onsale,2655.2,""LA BRUSCHETTA"",""1621 WESTWOOD BLVD"",5)"
"(166171,LIC,Y,onsale,2657,"""",""10300 WILSHIRE BLVD 1ST FL"",5)"
"(178841,LIC,Y,onsale,2678,NIZAM,""10871 W PICO BLVD"",5)"
"(182829,LIC,Y,onsale,1919.02,""HOT WINGS CAFE"",""7011 MELROSE AVE"",5)"
"(203074,LIC,Y,offsale,2699.04,""OVERLAND MOBIL MART"",""10611 NATIONAL BLVD"",5)"
"(214648,LIC,Y,offsale,2699.04,""7 ELEVEN 2173 13731"",""3450 OVERLAND AVE"",5)"
"(215343,LIC,Y,offsale,2655.1,""7 ELEVEN 2173 16226"",""1400 WESTWOOD BLVD"",5)"
"(21558,LIC,Y,onsale,2690,"""",""10000 W PICO BLVD"",5)"
"(216800,LIC,Y,onsale,2717.02,""BAJA BUDS"",""11205 NATIONAL BLVD"",5)"
"(218918,LIC,Y,onsale,2679.02,"""",""10201 W PICO BLVD COMMISSARY"",5)"
"(226331,APP,Y,offsale,2612,""BEVERLY GLEN MARKETPLACE"",""2950 N BEVERLY GLEN CIR"",5)"
"(230857,LIC,Y,onsale,2672,""TWENTY TWENTY WINES"",""2012-2020 COTNER AVE"",5)"
"(230857,LIC,Y,offsale,2672,""TWENTY TWENTY WINES"",""2012-2020 COTNER AVE"",5)"
"(232188,LIC,Y,onsale,1397.01,""JERRYS FAMOUS DELI"",""16650 VENTURA BLVD"",5)"
"(233613,LIC,Y,onsale,2672,"""",""2116 WESTWOOD BLVD"",5)"
"(234896,LIC,Y,offsale,2164.02,""WESTSIDE MARKET 2"",""998 S ROBERTSON BLVD UNIT 5"",5)"
"(238039,LIC,Y,offsale,2170.01,""PICO KOSHER DELI"",""8826 W PICO BLVD"",5)"
"(245119,LIC,Y,onsale,2691,""PATS RESTAURANT"",""9233 W PICO BLVD"",5)"
"(252918,LIC,Y,onsale,2717.02,GABES,""2965-67 S SEPULVEDA BLVD"",5)"
"(264275,LIC,Y,onsale,1920.02,STEAKPIT,""7529 MELROSE AVE"",5)"
"(267093,LIC,Y,offsale,2146,""J MARKET"",""8253 W 3RD ST"",5)"
"(268592,LIC,Y,offsale,2140,""7 ELEVEN 2173 17304"",""6077 W 3RD ST"",5)"
"(268601,LIC,Y,offsale,1944.02,""MEL & ROSE LIQUOR AND DELI"",""8344 MELROSE AVE"",5)"
"(269176,LIC,Y,offsale,2652.01,""CENTER WEST"",""10877 WILSHIRE BLVD P LEVEL"",5)"
"(269437,LIC,Y,onsale,2149.02,""ARNIE MORTONS OF CHICAGO"",""435 S LA CIENEGA BLVD"",5)"
"(270821,LIC,Y,onsale,7008.02,""LAWRYS THE PRIME RIB"",""100 N LA CIENEGA BLVD"",5)"
"(270879,LIC,Y,offsale,2170.02,""ELATSUPERMARKET INC."",""8724-30 W PICO BLVD"",5)"
"(270982,LIC,Y,onsale,2672,""PHILLY WEST BAR & GRILL"",""1870 WESTWOOD BLVD"",5)"
"(271070,LIC,Y,onsale,2691,""MILKY WAY RESTAURANT THE"",""9108 W PICO BLVD"",5)"
"(273006,LIC,Y,onsale,2678,PASTINA,""2260-62 WESTWOOD BLVD"",5)"
"(273029,LIC,Y,onsale,1414,"""",""15472 VENTURA BLVD"",5)"
